,Game Title,Game Rating,Game Publisher,Game Release Date,Review,Price
0,NBA 2K21 Mamba Forever Edition - PlayStation 5,E (Everyone),Publisher: 2K,Release Date: 11/12/2020,"User rating, 4.7 out of 5 stars with 334 reviews.(334)",$99.99
1,Immortals Fenyx Rising Standard Edition - PlayStation 5,T (Teen 13+),Publisher: Ubisoft,Release Date: 12/03/2020,"User rating, 4.7 out of 5 stars with 147 reviews.(147)",$29.99
2,Marvel's Spider-Man: Miles Morales Standard Launch Edition - PlayStation 5,T (Teen 13+),Publisher: Sony Interactive Entertainment,Release Date: 11/12/2020,"User rating, 4.8 out of 5 stars with 1011 reviews.(1,011)",$49.99
3,"Cyberpunk 2077 Standard Edition - PlayStation 4, PlayStation 5",M (Mature 17+),Publisher: WB Games,Release Date: 12/10/2020,"User rating, 3.3 out of 5 stars with 1494 reviews.(1,494)",$39.99
4,DIRT 5 - PlayStation 5,E (Everyone),Publisher: Nordic Games,Release Date: 11/19/2020,"User rating, 4.6 out of 5 stars with 25 reviews.(25)",$59.99
5,Hitman 3 - PlayStation 5,M (Mature 17+),Publisher: IO Interactive,Release Date: 01/20/2021,Not yet reviewedNot yet reviewed,$69.99
6,FIFA 21 - PlayStation 5,E (Everyone),Publisher: Electronic Arts,Release Date: 12/04/2020,"User rating, 4.8 out of 5 stars with 20 reviews.(20)",$69.99
7,Marvel's Spider-Man: Miles Morales Ultimate Launch Edition - PlayStation 5,T (Teen 13+),Publisher: Sony Interactive Entertainment,Release Date: 11/12/2020,"User rating, 4.9 out of 5 stars with 1097 reviews.(1,097)",$39.99
8,Assassin's Creed Valhalla Standard Edition - PlayStation 5,PlayStation 4 / PlayStation 5,Publisher: Ubisoft,PlayStation 5,"User rating, 4.7 out of 5 stars with 511 reviews.(511)",$69.99
9,LEGO Star Wars: The Skywalker Saga Deluxe Edition - PlayStation 5,Nintendo Switch / Nintendo Switch Lite,Publisher: WB Games,PlayStation 5,Not yet reviewedNot yet reviewed,$69.99
10,NBA 2K21 Standard Edition - PlayStation 5,Nintendo Switch,Publisher: 2K,PlayStation 5,"User rating, 4.6 out of 5 stars with 256 reviews.(256)",$79.99
11,Hitman 3 Deluxe Edition - PlayStation 5,M (Mature 17+),Publisher: Limited Run Games,Release Date: 01/20/2021,Not yet reviewedNot yet reviewed,$59.99
12,Sackboy: A Big Adventure Standard - PlayStation 5,E (Everyone),Publisher: Sony Interactive Entertainment,Release Date: 11/12/2020,"User rating, 4.9 out of 5 stars with 251 reviews.(251)",$69.99
13,Demon's Souls Standard Edition - PlayStation 5,M (Mature 17+),Publisher: Sony Interactive Entertainment,Release Date: 11/12/2020,"User rating, 4.8 out of 5 stars with 753 reviews.(753)",$29.99
14,Watch Dogs: Legion - PlayStation 5,M (Mature 17+),Publisher: Ubisoft,Release Date: 11/24/2020,"User rating, 4.3 out of 5 stars with 380 reviews.(380)",$59.99
15,"Madden NFL 21 - PlayStation 4, PlayStation 5",E (Everyone),Publisher: Electronic Arts,Release Date: 08/28/2020,"User rating, 4.4 out of 5 stars with 1350 reviews.(1,350)",$49.99
16,WRC 9 - PlayStation 5,E (Everyone),Publisher: Maximum Games,Release Date: 12/08/2020,"User rating, 4.4 out of 5 stars with 7 reviews.(7)",$99.99
17,New!Back 4 Blood Ultimate Edition - PlayStation 5,PlayStation 4,Publisher: Warner Bros. Games,PlayStation 5,Not yet reviewedNot yet reviewed,$59.99
18,Outriders Day 1 Edition - PlayStation 5,RP (Rating Pending),Publisher: Square Enix,Release Date: 02/02/2021,Not yet reviewedNot yet reviewed,$79.99
19,DEATHLOOP Deluxe Edition - PlayStation 5,RP (Rating Pending),Publisher: Bethesda,Release Date: 05/21/2021,Not yet reviewedNot yet reviewed,$49.99
20,Overcooked! All you Can Eat - PlayStation 5,"User rating, 5 out of 5 stars with 7 reviews.(7)",Publisher: Sold Out,ESRB Rating: RP (Rating Pending),"User rating, 5 out of 5 stars with 7 reviews.(7)",$49.99
21,Planet Coaster - PlayStation 5,RP (Rating Pending),Publisher: Sold Out,Release Date: 11/10/2020,"User rating, 4.9 out of 5 stars with 23 reviews.(23)",$79.99
22,Godfall Ascended Edition - PlayStation 5,T (Teen 13+),Publisher: Gearbox Publishing,Release Date: 11/12/2020,"User rating, 4.1 out of 5 stars with 62 reviews.(62)",$49.99
23,Godfall - PlayStation 5,T (Teen 13+),Publisher: Gearbox Publishing,Release Date: 11/12/2020,"User rating, 3.7 out of 5 stars with 152 reviews.(152)",$59.99
24,Mortal Kombat 11: Ultimate Edition - PlayStation 5,selectedPlayStation 5,Publisher: Warner Bros. Games,PlayStation 5,"User rating, 4.8 out of 5 stars with 191 reviews.(191)",$69.99
25,NBA 2K21 Standard Edition - PlayStation 5,ESRB Rating: E (Everyone),Publisher: 2K,Release Date: 11/12/2020,"User rating, 4.6 out of 5 stars with 256 reviews.(256)",$49.99
26,New!Ride 4 - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: THQ Nordic,Release Date: 01/21/2021,Not yet reviewedNot yet reviewed,$69.99
27,Call of Duty: Black Ops Cold War Standard Edition - PlayStation 5,PlayStation 4 / PlayStation 5Xbox OneselectedPlayStation 5Xbox Series X,Publisher: Activision Publishing,PlayStation 5,"User rating, 4.5 out of 5 stars with 1241 reviews.(1,241)",$49.99
28,The Pathless - PlayStation 5,ESRB Rating: E10+ (Everyone 10+),Publisher: Skybound,Release Date: 12/08/2020,"User rating, 4.6 out of 5 stars with 27 reviews.(27)",$29.99
29,The Dark Pictures: House of Ashes - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Bandai Namco,Release Date: Not Announced,Not yet reviewedNot yet reviewed,$29.99
30,Puyo Puyo Tetris 2 Launch Edition - PlayStation 5,ESRB Rating: E10+ (Everyone 10+),Publisher: Sega,Release Date: 12/08/2020,"User rating, 5 out of 5 stars with 5 reviews.(5)",$69.99
31,Madden NFL 21 Next Level Edition - PlayStation 5,ESRB Rating: E (Everyone),Publisher: Electronic Arts,Release Date: 12/04/2020,"User rating, 4.8 out of 5 stars with 77 reviews.(77)",$99.99
32,"Madden NFL 21 MVP Edition - PlayStation 4, PlayStation 5",selectedPlayStation 4 / PlayStation 5Xbox One / Xbox Series X,Publisher: Electronic Arts,PlayStation 4 / PlayStation 5,"User rating, 4.3 out of 5 stars with 138 reviews.(138)",$29.99
33,Fortnite: The Last Laugh Bundle - PlayStation 5,ESRB Rating: T (Teen 13+),Publisher: Warner Bros. Games,Release Date: 11/17/2020,"User rating, 4.6 out of 5 stars with 78 reviews.(78)",$59.99
34,"FIFA 21 Standard Edition - PlayStation 4, PlayStation 5",selectedPlayStation 4 / PlayStation 5Xbox One / Xbox Series X,Publisher: Electronic Arts,PlayStation 4 / PlayStation 5,"User rating, 4.6 out of 5 stars with 726 reviews.(726)",$99.99
35,Guilty Gear-Strive Ultimate Edition - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Arc System Works,Release Date: 04/06/2021,Not yet reviewedNot yet reviewed,$59.99
36,New!Back 4 Blood Standard Edition - PlayStation 5,PlayStation 4selectedPlayStation 5Xbox One / Xbox Series S / Xbox Series X,Publisher: Warner Bros. Games,PlayStation 5,Not yet reviewedNot yet reviewed,$59.99
37,Far Cry 6 - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Ubisoft,Release Date: Not Announced,Not yet reviewedNot yet reviewed,$39.99
38,Devil May Cry 5 Special Edition - PlayStation 5,ESRB Rating: M (Mature 17+),Publisher: Capcom,Release Date: 12/01/2020,"User rating, 4.8 out of 5 stars with 96 reviews.(96)",$39.99
39,Bugsnax - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Fangamer,Release Date: Not Announced,Not yet reviewedNot yet reviewed,$79.99
40,"Madden NFL 21 Deluxe Edition - PlayStation 4, PlayStation 5",selectedPlayStation 4 / PlayStation 5Xbox One / Xbox Series S / Xbox Series X,Publisher: Electronic Arts,PlayStation 4 / PlayStation 5,"User rating, 4.1 out of 5 stars with 90 reviews.(90)",$69.99
41,New!The Nioh Collection - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: PlayStation Studios,Release Date: 02/05/2021,Not yet reviewedNot yet reviewed,$109.99
42,Far Cry 6 Gold Edition SteelBook - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Ubisoft,Release Date: Not Announced,Not yet reviewedNot yet reviewed,$59.99
43,SCARLET NEXUS - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: BANDAI NAMCO Entertainment,Release Date: Not Announced,Not yet reviewedNot yet reviewed,$49.99
44,New!Werewolf: The Apocalypse - Earthblood - PlayStation 5,ESRB Rating: RP (Rating Pending),Publisher: Maximum Games,Release Date: 02/04/2021,Not yet reviewedNot yet reviewed,$89.99
